scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
bls,2048,128,iCertGen,1,0,21409200,59
bls,2048,128,SKGen,1,0,68000,59
bls,2048,128,PKRecon,1,0,40670400,59
bls,2048,128,iCertGen,1,1,21559900,59
bls,2048,128,SKGen,1,1,66600,59
bls,2048,128,PKRecon,1,1,38785100,59
bls,2048,128,iCertGen,1,2,20699500,59
bls,2048,128,SKGen,1,2,68300,59
bls,2048,128,PKRecon,1,2,39196200,59
bls,2048,128,iCertGen,1,3,22092000,59
bls,2048,128,SKGen,1,3,60600,59
bls,2048,128,PKRecon,1,3,37276700,59
bls,2048,128,iCertGen,1,4,21225800,59
bls,2048,128,SKGen,1,4,56000,59
bls,2048,128,PKRecon,1,4,37141200,59
bls,2048,128,iCertGen,1,5,20819300,59
bls,2048,128,SKGen,1,5,58300,59
bls,2048,128,PKRecon,1,5,37302900,59
bls,2048,128,iCertGen,1,6,21366900,59
bls,2048,128,SKGen,1,6,61200,59
bls,2048,128,PKRecon,1,6,40437000,59
bls,2048,128,iCertGen,1,7,20871400,59
bls,2048,128,SKGen,1,7,62500,59
bls,2048,128,PKRecon,1,7,39265000,59
bls,2048,128,iCertGen,1,8,21297500,59
bls,2048,128,SKGen,1,8,59600,59
bls,2048,128,PKRecon,1,8,39943300,59
bls,2048,128,iCertGen,1,9,21745400,59
bls,2048,128,SKGen,1,9,61600,59
bls,2048,128,PKRecon,1,9,40877700,59
bls,2048,128,iCertGen,1,10,21864600,59
bls,2048,128,SKGen,1,10,59700,59
bls,2048,128,PKRecon,1,10,41949200,59
bls,2048,128,iCertGen,1,11,21374200,59
bls,2048,128,SKGen,1,11,62400,59
bls,2048,128,PKRecon,1,11,37811800,59
bls,2048,128,iCertGen,1,12,21744500,59
bls,2048,128,SKGen,1,12,69600,59
bls,2048,128,PKRecon,1,12,39964800,59
bls,2048,128,iCertGen,1,13,21373100,59
bls,2048,128,SKGen,1,13,59000,59
bls,2048,128,PKRecon,1,13,39078100,59
bls,2048,128,iCertGen,1,14,21268600,59
bls,2048,128,SKGen,1,14,61400,59
bls,2048,128,PKRecon,1,14,41258900,59
bls,2048,128,iCertGen,1,15,22447700,59
bls,2048,128,SKGen,1,15,63800,59
bls,2048,128,PKRecon,1,15,40346700,59
bls,2048,128,iCertGen,1,16,21717400,59
bls,2048,128,SKGen,1,16,66700,59
bls,2048,128,PKRecon,1,16,41828400,59
bls,2048,128,iCertGen,1,17,20771100,59
bls,2048,128,SKGen,1,17,59800,59
bls,2048,128,PKRecon,1,17,40567300,59
bls,2048,128,iCertGen,1,18,21265300,59
bls,2048,128,SKGen,1,18,59400,59
bls,2048,128,PKRecon,1,18,39503800,59
bls,2048,128,iCertGen,1,19,20917500,59
bls,2048,128,SKGen,1,19,59400,59
bls,2048,128,PKRecon,1,19,39890800,59
bls,2048,128,iCertGen,0,0,20006100,59
bls,2048,128,SKGen,0,0,57500,59
bls,2048,128,PKRecon,0,0,39975300,59
bls,2048,128,iCertGen,0,1,20192600,59
bls,2048,128,SKGen,0,1,57500,59
bls,2048,128,PKRecon,0,1,38727900,59
bls,2048,128,iCertGen,0,2,19910400,59
bls,2048,128,SKGen,0,2,56200,59
bls,2048,128,PKRecon,0,2,38636300,59
