scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
bls,2048,128,iCertGen,1,0,21268000,59
bls,2048,128,SKGen,1,0,67800,59
bls,2048,128,PKRecon,1,0,39343200,59
bls,2048,128,iCertGen,1,1,21529000,59
bls,2048,128,SKGen,1,1,66500,59
bls,2048,128,PKRecon,1,1,38791100,59
bls,2048,128,iCertGen,1,2,20821900,59
bls,2048,128,SKGen,1,2,67800,59
bls,2048,128,PKRecon,1,2,43750700,59
bls,2048,128,iCertGen,0,0,23636300,59
bls,2048,128,SKGen,0,0,64100,59
bls,2048,128,PKRecon,0,0,39203900,59
bls,2048,128,iCertGen,0,1,21307400,59
bls,2048,128,SKGen,0,1,57400,59
bls,2048,128,PKRecon,0,1,37737700,59
bls,2048,128,iCertGen,0,2,27645600,59
bls,2048,128,SKGen,0,2,60600,59
bls,2048,128,PKRecon,0,2,38368500,59
bls,2048,128,iCertGen,0,3,21226400,59
bls,2048,128,SKGen,0,3,58000,59
bls,2048,128,PKRecon,0,3,36865500,59
bls,2048,128,iCertGen,0,4,25509700,59
bls,2048,128,SKGen,0,4,61700,59
bls,2048,128,PKRecon,0,4,41115800,59
bls,2048,128,iCertGen,0,5,20854800,59
bls,2048,128,SKGen,0,5,62100,59
bls,2048,128,PKRecon,0,5,42215600,59
bls,2048,128,iCertGen,0,6,20454600,59
bls,2048,128,SKGen,0,6,61900,59
bls,2048,128,PKRecon,0,6,40303900,59
bls,2048,128,iCertGen,0,7,22096700,59
bls,2048,128,SKGen,0,7,61100,59
bls,2048,128,PKRecon,0,7,45812200,59
bls,2048,128,iCertGen,0,8,23117900,59
bls,2048,128,SKGen,0,8,56800,59
bls,2048,128,PKRecon,0,8,36103000,59
bls,2048,128,iCertGen,0,9,19760100,59
bls,2048,128,SKGen,0,9,57400,59
bls,2048,128,PKRecon,0,9,39874800,59
