scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
bls,2048,128,Setup,1,0,10576800,0,48,32
bls,2048,128,iCertGen,1,0,20863600,59,48,32
bls,2048,128,SKGen,1,0,61000,59,48,32
bls,2048,128,PKRecon,1,0,36290700,59,48,32
bls,2048,128,Setup,1,1,9994300,0,48,32
bls,2048,128,iCertGen,1,1,20797400,59,48,32
bls,2048,128,SKGen,1,1,62700,59,48,32
bls,2048,128,PKRecon,1,1,36434500,59,48,32
bls,2048,128,Setup,1,2,11224900,0,48,32
bls,2048,128,iCertGen,1,2,20226500,59,48,32
bls,2048,128,SKGen,1,2,62200,59,48,32
bls,2048,128,PKRecon,1,2,35985800,59,48,32
bls,2048,128,Setup,1,3,10301700,0,48,32
bls,2048,128,iCertGen,1,3,22865000,59,48,32
bls,2048,128,SKGen,1,3,59600,59,48,32
bls,2048,128,PKRecon,1,3,38570700,59,48,32
bls,2048,128,Setup,1,4,9842200,0,48,32
bls,2048,128,iCertGen,1,4,20140400,59,48,32
bls,2048,128,SKGen,1,4,58600,59,48,32
bls,2048,128,PKRecon,1,4,36334900,59,48,32
bls,2048,128,Setup,1,5,10309600,0,48,32
bls,2048,128,iCertGen,1,5,20262200,59,48,32
bls,2048,128,SKGen,1,5,58700,59,48,32
bls,2048,128,PKRecon,1,5,38761500,59,48,32
bls,2048,128,Setup,1,6,17688300,0,48,32
bls,2048,128,iCertGen,1,6,19598900,59,48,32
bls,2048,128,SKGen,1,6,59100,59,48,32
bls,2048,128,PKRecon,1,6,37827600,59,48,32
bls,2048,128,Setup,1,7,10101800,0,48,32
bls,2048,128,iCertGen,1,7,23176500,59,48,32
bls,2048,128,SKGen,1,7,58300,59,48,32
bls,2048,128,PKRecon,1,7,41949700,59,48,32
bls,2048,128,Setup,1,8,10556200,0,48,32
bls,2048,128,iCertGen,1,8,20603500,59,48,32
bls,2048,128,SKGen,1,8,58600,59,48,32
bls,2048,128,PKRecon,1,8,38166600,59,48,32
bls,2048,128,Setup,1,9,10029800,0,48,32
bls,2048,128,iCertGen,1,9,19644500,59,48,32
bls,2048,128,SKGen,1,9,56100,59,48,32
bls,2048,128,PKRecon,1,9,37155500,59,48,32
bls,2048,128,Setup,1,10,10294500,0,48,32
bls,2048,128,iCertGen,1,10,20222000,59,48,32
bls,2048,128,SKGen,1,10,59800,59,48,32
bls,2048,128,PKRecon,1,10,39541100,59,48,32
bls,2048,128,Setup,1,11,10634500,0,48,32
bls,2048,128,iCertGen,1,11,21234200,59,48,32
bls,2048,128,SKGen,1,11,59400,59,48,32
bls,2048,128,PKRecon,1,11,39458100,59,48,32
bls,2048,128,Setup,1,12,10320700,0,48,32
bls,2048,128,iCertGen,1,12,20893100,59,48,32
bls,2048,128,SKGen,1,12,59800,59,48,32
bls,2048,128,PKRecon,1,12,39568500,59,48,32
bls,2048,128,Setup,1,13,11231700,0,48,32
bls,2048,128,iCertGen,1,13,20632800,59,48,32
bls,2048,128,SKGen,1,13,56300,59,48,32
bls,2048,128,PKRecon,1,13,38141700,59,48,32
bls,2048,128,Setup,1,14,10228400,0,48,32
bls,2048,128,iCertGen,1,14,20400500,59,48,32
bls,2048,128,SKGen,1,14,54500,59,48,32
bls,2048,128,PKRecon,1,14,36696200,59,48,32
bls,2048,128,Setup,1,15,10223800,0,48,32
bls,2048,128,iCertGen,1,15,21331500,59,48,32
bls,2048,128,SKGen,1,15,60900,59,48,32
bls,2048,128,PKRecon,1,15,39637000,59,48,32
bls,2048,128,Setup,1,16,10318900,0,48,32
bls,2048,128,iCertGen,1,16,20826400,59,48,32
bls,2048,128,SKGen,1,16,56900,59,48,32
bls,2048,128,PKRecon,1,16,37889900,59,48,32
bls,2048,128,Setup,1,17,10573800,0,48,32
bls,2048,128,iCertGen,1,17,21413800,59,48,32
bls,2048,128,SKGen,1,17,57800,59,48,32
bls,2048,128,PKRecon,1,17,36786400,59,48,32
bls,2048,128,Setup,1,18,10697000,0,48,32
bls,2048,128,iCertGen,1,18,20793400,59,48,32
bls,2048,128,SKGen,1,18,61500,59,48,32
bls,2048,128,PKRecon,1,18,41736200,59,48,32
bls,2048,128,Setup,1,19,11063300,0,48,32
bls,2048,128,iCertGen,1,19,20790500,59,48,32
bls,2048,128,SKGen,1,19,60400,59,48,32
bls,2048,128,PKRecon,1,19,40706900,59,48,32
bls,2048,128,Setup,0,0,10173000,0,48,32
bls,2048,128,iCertGen,0,0,20318400,59,48,32
bls,2048,128,SKGen,0,0,72200,59,48,32
bls,2048,128,PKRecon,0,0,36542700,59,48,32
bls,2048,128,Setup,0,1,9855500,0,48,32
bls,2048,128,iCertGen,0,1,19623900,59,48,32
bls,2048,128,SKGen,0,1,55700,59,48,32
bls,2048,128,PKRecon,0,1,37444400,59,48,32
bls,2048,128,Setup,0,2,9314900,0,48,32
bls,2048,128,iCertGen,0,2,19915900,59,48,32
bls,2048,128,SKGen,0,2,58200,59,48,32
bls,2048,128,PKRecon,0,2,38923200,59,48,32
bls,2048,128,Setup,0,3,9081100,0,48,32
bls,2048,128,iCertGen,0,3,19802300,59,48,32
bls,2048,128,SKGen,0,3,54000,59,48,32
bls,2048,128,PKRecon,0,3,36268500,59,48,32
bls,2048,128,Setup,0,4,9875400,0,48,32
bls,2048,128,iCertGen,0,4,19254200,59,48,32
bls,2048,128,SKGen,0,4,53400,59,48,32
bls,2048,128,PKRecon,0,4,33784700,59,48,32
bls,2048,128,Setup,0,5,9593500,0,48,32
bls,2048,128,iCertGen,0,5,19458100,59,48,32
bls,2048,128,SKGen,0,5,54200,59,48,32
bls,2048,128,PKRecon,0,5,36130900,59,48,32
bls,2048,128,Setup,0,6,9239900,0,48,32
bls,2048,128,iCertGen,0,6,19416300,59,48,32
bls,2048,128,SKGen,0,6,57300,59,48,32
bls,2048,128,PKRecon,0,6,35863600,59,48,32
bls,2048,128,Setup,0,7,9031900,0,48,32
bls,2048,128,iCertGen,0,7,19365700,59,48,32
bls,2048,128,SKGen,0,7,56200,59,48,32
bls,2048,128,PKRecon,0,7,37916300,59,48,32
bls,2048,128,Setup,0,8,10240000,0,48,32
bls,2048,128,iCertGen,0,8,22444100,59,48,32
bls,2048,128,SKGen,0,8,53700,59,48,32
bls,2048,128,PKRecon,0,8,36890700,59,48,32
bls,2048,128,Setup,0,9,9668400,0,48,32
bls,2048,128,iCertGen,0,9,20994400,59,48,32
bls,2048,128,SKGen,0,9,80200,59,48,32
bls,2048,128,PKRecon,0,9,51031800,59,48,32
bls,2048,128,Setup,0,10,9692900,0,48,32
bls,2048,128,iCertGen,0,10,20395600,59,48,32
bls,2048,128,SKGen,0,10,55800,59,48,32
bls,2048,128,PKRecon,0,10,38087800,59,48,32
bls,2048,128,Setup,0,11,13387000,0,48,32
bls,2048,128,iCertGen,0,11,28030700,59,48,32
bls,2048,128,SKGen,0,11,70800,59,48,32
bls,2048,128,PKRecon,0,11,50774900,59,48,32
bls,2048,128,Setup,0,12,14121600,0,48,32
bls,2048,128,iCertGen,0,12,24091500,59,48,32
bls,2048,128,SKGen,0,12,59900,59,48,32
bls,2048,128,PKRecon,0,12,44482500,59,48,32
bls,2048,128,Setup,0,13,14421300,0,48,32
bls,2048,128,iCertGen,0,13,25397600,59,48,32
bls,2048,128,SKGen,0,13,69200,59,48,32
bls,2048,128,PKRecon,0,13,44650200,59,48,32
bls,2048,128,Setup,0,14,11007200,0,48,32
bls,2048,128,iCertGen,0,14,21161500,59,48,32
bls,2048,128,SKGen,0,14,60700,59,48,32
bls,2048,128,PKRecon,0,14,40736600,59,48,32
bls,2048,128,Setup,0,15,10622500,0,48,32
bls,2048,128,iCertGen,0,15,24757900,59,48,32
bls,2048,128,SKGen,0,15,60300,59,48,32
bls,2048,128,PKRecon,0,15,39713200,59,48,32
bls,2048,128,Setup,0,16,10114600,0,48,32
bls,2048,128,iCertGen,0,16,20620400,59,48,32
bls,2048,128,SKGen,0,16,55500,59,48,32
bls,2048,128,PKRecon,0,16,38666500,59,48,32
bls,2048,128,Setup,0,17,9798500,0,48,32
bls,2048,128,iCertGen,0,17,20910000,59,48,32
bls,2048,128,SKGen,0,17,59500,59,48,32
bls,2048,128,PKRecon,0,17,40792500,59,48,32
bls,2048,128,Setup,0,18,10906400,0,48,32
bls,2048,128,iCertGen,0,18,20699100,59,48,32
bls,2048,128,SKGen,0,18,56600,59,48,32
bls,2048,128,PKRecon,0,18,40078500,59,48,32
bls,2048,128,Setup,0,19,10669800,0,48,32
bls,2048,128,iCertGen,0,19,23721200,59,48,32
bls,2048,128,SKGen,0,19,57200,59,48,32
bls,2048,128,PKRecon,0,19,49603100,59,48,32
bls,2048,128,Setup,0,20,13587200,0,48,32
bls,2048,128,iCertGen,0,20,29211800,59,48,32
bls,2048,128,SKGen,0,20,75700,59,48,32
bls,2048,128,PKRecon,0,20,49069700,59,48,32
bls,2048,128,Setup,0,21,10314800,0,48,32
bls,2048,128,iCertGen,0,21,20382100,59,48,32
bls,2048,128,SKGen,0,21,58400,59,48,32
bls,2048,128,PKRecon,0,21,40550400,59,48,32
bls,2048,128,Setup,0,22,10501200,0,48,32
bls,2048,128,iCertGen,0,22,20447100,59,48,32
bls,2048,128,SKGen,0,22,58200,59,48,32
bls,2048,128,PKRecon,0,22,39227300,59,48,32
bls,2048,128,Setup,0,23,10447000,0,48,32
bls,2048,128,iCertGen,0,23,21387700,59,48,32
bls,2048,128,SKGen,0,23,63500,59,48,32
bls,2048,128,PKRecon,0,23,41101400,59,48,32
bls,2048,128,Setup,0,24,11624500,0,48,32
bls,2048,128,iCertGen,0,24,21664500,59,48,32
bls,2048,128,SKGen,0,24,72300,59,48,32
bls,2048,128,PKRecon,0,24,41999200,59,48,32
bls,2048,128,Setup,0,25,9850100,0,48,32
bls,2048,128,iCertGen,0,25,20950600,59,48,32
bls,2048,128,SKGen,0,25,56700,59,48,32
bls,2048,128,PKRecon,0,25,37353800,59,48,32
bls,2048,128,Setup,0,26,10245700,0,48,32
bls,2048,128,iCertGen,0,26,20925600,59,48,32
bls,2048,128,SKGen,0,26,58300,59,48,32
bls,2048,128,PKRecon,0,26,39597700,59,48,32
bls,2048,128,Setup,0,27,10057600,0,48,32
bls,2048,128,iCertGen,0,27,24400900,59,48,32
bls,2048,128,SKGen,0,27,85500,59,48,32
bls,2048,128,PKRecon,0,27,42576600,59,48,32
bls,2048,128,Setup,0,28,9838100,0,48,32
bls,2048,128,iCertGen,0,28,20241700,59,48,32
bls,2048,128,SKGen,0,28,58600,59,48,32
bls,2048,128,PKRecon,0,28,42184300,59,48,32
bls,2048,128,Setup,0,29,9847100,0,48,32
bls,2048,128,iCertGen,0,29,20584300,59,48,32
bls,2048,128,SKGen,0,29,56300,59,48,32
bls,2048,128,PKRecon,0,29,39219000,59,48,32
bls,2048,128,Setup,0,30,9303700,0,48,32
bls,2048,128,iCertGen,0,30,20714000,59,48,32
bls,2048,128,SKGen,0,30,63500,59,48,32
bls,2048,128,PKRecon,0,30,36929900,59,48,32
bls,2048,128,Setup,0,31,13710200,0,48,32
bls,2048,128,iCertGen,0,31,24924500,59,48,32
bls,2048,128,SKGen,0,31,71500,59,48,32
bls,2048,128,PKRecon,0,31,44695600,59,48,32
bls,2048,128,Setup,0,32,9745100,0,48,32
bls,2048,128,iCertGen,0,32,19690300,59,48,32
bls,2048,128,SKGen,0,32,54400,59,48,32
bls,2048,128,PKRecon,0,32,36854300,59,48,32
bls,2048,128,Setup,0,33,9368100,0,48,32
bls,2048,128,iCertGen,0,33,26349700,59,48,32
bls,2048,128,SKGen,0,33,75600,59,48,32
bls,2048,128,PKRecon,0,33,39791400,59,48,32
bls,2048,128,Setup,0,34,9968200,0,48,32
bls,2048,128,iCertGen,0,34,19421700,59,48,32
bls,2048,128,SKGen,0,34,55200,59,48,32
bls,2048,128,PKRecon,0,34,38075400,59,48,32
bls,2048,128,Setup,0,35,10033300,0,48,32
bls,2048,128,iCertGen,0,35,19930200,59,48,32
bls,2048,128,SKGen,0,35,53400,59,48,32
bls,2048,128,PKRecon,0,35,38215600,59,48,32
bls,2048,128,Setup,0,36,9667600,0,48,32
bls,2048,128,iCertGen,0,36,23047400,59,48,32
bls,2048,128,SKGen,0,36,74100,59,48,32
bls,2048,128,PKRecon,0,36,49772000,59,48,32
bls,2048,128,Setup,0,37,11172500,0,48,32
bls,2048,128,iCertGen,0,37,27681200,59,48,32
bls,2048,128,SKGen,0,37,77200,59,48,32
bls,2048,128,PKRecon,0,37,42328000,59,48,32
bls,2048,128,Setup,0,38,9306100,0,48,32
bls,2048,128,iCertGen,0,38,19256000,59,48,32
bls,2048,128,SKGen,0,38,55900,59,48,32
bls,2048,128,PKRecon,0,38,35887700,59,48,32
bls,2048,128,Setup,0,39,9365200,0,48,32
bls,2048,128,iCertGen,0,39,19087200,59,48,32
bls,2048,128,SKGen,0,39,54900,59,48,32
bls,2048,128,PKRecon,0,39,36994900,59,48,32
bls,2048,128,Setup,0,40,9448700,0,48,32
bls,2048,128,iCertGen,0,40,18769900,59,48,32
bls,2048,128,SKGen,0,40,54800,59,48,32
bls,2048,128,PKRecon,0,40,35936400,59,48,32
bls,2048,128,Setup,0,41,9570100,0,48,32
bls,2048,128,iCertGen,0,41,21269100,59,48,32
bls,2048,128,SKGen,0,41,78000,59,48,32
bls,2048,128,PKRecon,0,41,38677700,59,48,32
bls,2048,128,Setup,0,42,9732500,0,48,32
bls,2048,128,iCertGen,0,42,19570800,59,48,32
bls,2048,128,SKGen,0,42,56000,59,48,32
bls,2048,128,PKRecon,0,42,36702700,59,48,32
bls,2048,128,Setup,0,43,9729500,0,48,32
bls,2048,128,iCertGen,0,43,19864600,59,48,32
bls,2048,128,SKGen,0,43,55000,59,48,32
bls,2048,128,PKRecon,0,43,37254100,59,48,32
bls,2048,128,Setup,0,44,9811700,0,48,32
bls,2048,128,iCertGen,0,44,19888300,59,48,32
bls,2048,128,SKGen,0,44,53800,59,48,32
