scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
bls,2048,128,Setup,1,0,10673800,0,48,32
bls,2048,128,iCertGen,1,0,21243700,59,48,32
bls,2048,128,SKGen,1,0,65400,59,48,32
bls,2048,128,PKRecon,1,0,36751500,59,48,32
bls,2048,128,Setup,1,1,9782200,0,48,32
bls,2048,128,iCertGen,1,1,20754300,59,48,32
bls,2048,128,SKGen,1,1,64500,59,48,32
bls,2048,128,PKRecon,1,1,39439700,59,48,32
bls,2048,128,Setup,0,0,10191900,0,48,32
bls,2048,128,iCertGen,0,0,20482500,59,48,32
bls,2048,128,SKGen,0,0,64700,59,48,32
bls,2048,128,PKRecon,0,0,38801900,59,48,32
bls,2048,128,Setup,0,1,10056300,0,48,32
bls,2048,128,iCertGen,0,1,20027000,59,48,32
bls,2048,128,SKGen,0,1,56700,59,48,32
bls,2048,128,PKRecon,0,1,34538000,59,48,32
bls,2048,128,Setup,0,2,9904500,0,48,32
bls,2048,128,iCertGen,0,2,20345100,59,48,32
bls,2048,128,SKGen,0,2,58200,59,48,32
bls,2048,128,PKRecon,0,2,36671500,59,48,32
bls,2048,128,Setup,0,3,16459500,0,48,32
bls,2048,128,iCertGen,0,3,20615600,59,48,32
bls,2048,128,SKGen,0,3,62700,59,48,32
bls,2048,128,PKRecon,0,3,37715200,59,48,32
bls,2048,128,Setup,0,4,9975000,0,48,32
bls,2048,128,iCertGen,0,4,20917700,59,48,32
bls,2048,128,SKGen,0,4,64100,59,48,32
bls,2048,128,PKRecon,0,4,38843100,59,48,32
