scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
gq,3072,128,iCertGen,1,0,5885400,395
gq,3072,128,SKGen,1,0,3697200,395
gq,3072,128,PKRecon,1,0,3713500,395
gq,3072,128,iCertGen,1,1,6080700,395
gq,3072,128,SKGen,1,1,3969400,395
gq,3072,128,PKRecon,1,1,3970700,395
gq,3072,128,iCertGen,1,2,5675900,395
gq,3072,128,SKGen,1,2,3627600,395
gq,3072,128,PKRecon,1,2,3615500,395
gq,3072,128,iCertGen,1,3,5732800,395
gq,3072,128,SKGen,1,3,3672100,395
gq,3072,128,PKRecon,1,3,3674700,395
gq,3072,128,iCertGen,1,4,5681000,395
gq,3072,128,SKGen,1,4,3633100,395
gq,3072,128,PKRecon,1,4,3653700,395
gq,3072,128,iCertGen,1,5,5707400,395
gq,3072,128,SKGen,1,5,3697200,395
gq,3072,128,PKRecon,1,5,3694700,395
gq,3072,128,iCertGen,1,6,5552800,395
gq,3072,128,SKGen,1,6,3591800,395
gq,3072,128,PKRecon,1,6,3590600,395
gq,3072,128,iCertGen,1,7,5519100,395
gq,3072,128,SKGen,1,7,3538300,395
gq,3072,128,PKRecon,1,7,3533600,395
gq,3072,128,iCertGen,1,8,5349600,395
gq,3072,128,SKGen,1,8,3361800,395
gq,3072,128,PKRecon,1,8,3384400,395
gq,3072,128,iCertGen,1,9,5795800,395
gq,3072,128,SKGen,1,9,3811900,395
gq,3072,128,PKRecon,1,9,3827700,395
gq,3072,128,iCertGen,1,10,5660300,395
gq,3072,128,SKGen,1,10,3719600,395
gq,3072,128,PKRecon,1,10,3743000,395
gq,3072,128,iCertGen,1,11,5636200,395
gq,3072,128,SKGen,1,11,3616800,395
gq,3072,128,PKRecon,1,11,3625000,395
gq,3072,128,iCertGen,1,12,5733100,395
gq,3072,128,SKGen,1,12,3665600,395
gq,3072,128,PKRecon,1,12,3679300,395
gq,3072,128,iCertGen,1,13,5647600,395
gq,3072,128,SKGen,1,13,3693500,395
gq,3072,128,PKRecon,1,13,3703400,395
gq,3072,128,iCertGen,1,14,5494700,395
gq,3072,128,SKGen,1,14,3539700,395
gq,3072,128,PKRecon,1,14,3547200,395
gq,3072,128,iCertGen,1,15,5364900,395
gq,3072,128,SKGen,1,15,3379700,395
gq,3072,128,PKRecon,1,15,3387500,395
gq,3072,128,iCertGen,1,16,5707100,395
gq,3072,128,SKGen,1,16,3709000,395
gq,3072,128,PKRecon,1,16,3706700,395
gq,3072,128,iCertGen,1,17,5460500,395
gq,3072,128,SKGen,1,17,3497000,395
gq,3072,128,PKRecon,1,17,3502500,395
gq,3072,128,iCertGen,1,18,5509800,395
gq,3072,128,SKGen,1,18,3525300,395
gq,3072,128,PKRecon,1,18,3503600,395
gq,3072,128,iCertGen,1,19,5763800,395
gq,3072,128,SKGen,1,19,3748900,395
gq,3072,128,PKRecon,1,19,3751300,395
gq,3072,128,iCertGen,0,0,5498400,395
gq,3072,128,SKGen,0,0,3561600,395
gq,3072,128,PKRecon,0,0,3551100,395
gq,3072,128,iCertGen,0,1,5507300,395
gq,3072,128,SKGen,0,1,3564100,395
gq,3072,128,PKRecon,0,1,3568000,395
gq,3072,128,iCertGen,0,2,5612400,395
gq,3072,128,SKGen,0,2,3647600,395
gq,3072,128,PKRecon,0,2,3726700,395
gq,3072,128,iCertGen,0,3,5470800,395
gq,3072,128,SKGen,0,3,3468700,395
gq,3072,128,PKRecon,0,3,3493600,395
gq,3072,128,iCertGen,0,4,5762500,395
gq,3072,128,SKGen,0,4,3795900,395
gq,3072,128,PKRecon,0,4,3819100,395
gq,3072,128,iCertGen,0,5,5451500,395
gq,3072,128,SKGen,0,5,3484800,395
gq,3072,128,PKRecon,0,5,3489500,395
gq,3072,128,iCertGen,0,6,5610000,395
gq,3072,128,SKGen,0,6,3632800,395
gq,3072,128,PKRecon,0,6,3655000,395
gq,3072,128,iCertGen,0,7,5416900,395
gq,3072,128,SKGen,0,7,3433200,395
gq,3072,128,PKRecon,0,7,3424600,395
gq,3072,128,iCertGen,0,8,5436500,395
gq,3072,128,SKGen,0,8,3459300,395
gq,3072,128,PKRecon,0,8,3470600,395
gq,3072,128,iCertGen,0,9,5790300,395
gq,3072,128,SKGen,0,9,3799000,395
gq,3072,128,PKRecon,0,9,3829700,395
gq,3072,128,iCertGen,0,10,5490300,395
gq,3072,128,SKGen,0,10,3520300,395
gq,3072,128,PKRecon,0,10,3529500,395
gq,3072,128,iCertGen,0,11,5790100,395
gq,3072,128,SKGen,0,11,3821800,395
gq,3072,128,PKRecon,0,11,3836800,395
gq,3072,128,iCertGen,0,12,5408600,395
gq,3072,128,SKGen,0,12,3411700,395
gq,3072,128,PKRecon,0,12,3420300,395
gq,3072,128,iCertGen,0,13,5588800,395
gq,3072,128,SKGen,0,13,3590500,395
gq,3072,128,PKRecon,0,13,3589600,395
gq,3072,128,iCertGen,0,14,5468600,395
gq,3072,128,SKGen,0,14,3509600,395
gq,3072,128,PKRecon,0,14,3505500,395
gq,3072,128,iCertGen,0,15,5475100,395
gq,3072,128,SKGen,0,15,3532000,395
gq,3072,128,PKRecon,0,15,3530900,395
gq,3072,128,iCertGen,0,16,5436300,395
gq,3072,128,SKGen,0,16,3447900,395
gq,3072,128,PKRecon,0,16,3434700,395
gq,3072,128,iCertGen,0,17,5527800,395
gq,3072,128,SKGen,0,17,3541200,395
gq,3072,128,PKRecon,0,17,3542900,395
gq,3072,128,iCertGen,0,18,5258300,395
gq,3072,128,SKGen,0,18,3265100,395
gq,3072,128,PKRecon,0,18,3274600,395
gq,3072,128,iCertGen,0,19,6298400,395
gq,3072,128,SKGen,0,19,3671200,395
gq,3072,128,PKRecon,0,19,3644600,395
gq,3072,128,iCertGen,0,20,5659500,395
gq,3072,128,SKGen,0,20,3644100,395
gq,3072,128,PKRecon,0,20,3666900,395
gq,3072,128,iCertGen,0,21,5631500,395
gq,3072,128,SKGen,0,21,3583500,395
gq,3072,128,PKRecon,0,21,3614200,395
gq,3072,128,iCertGen,0,22,5534900,395
gq,3072,128,SKGen,0,22,3479800,395
gq,3072,128,PKRecon,0,22,3520400,395
gq,3072,128,iCertGen,0,23,5570300,395
gq,3072,128,SKGen,0,23,3582200,395
gq,3072,128,PKRecon,0,23,3574600,395
gq,3072,128,iCertGen,0,24,5608800,395
gq,3072,128,SKGen,0,24,3627900,395
gq,3072,128,PKRecon,0,24,3613800,395
gq,3072,128,iCertGen,0,25,5307000,395
gq,3072,128,SKGen,0,25,3288400,395
gq,3072,128,PKRecon,0,25,3299500,395
gq,3072,128,iCertGen,0,26,5672100,395
gq,3072,128,SKGen,0,26,3636200,395
gq,3072,128,PKRecon,0,26,3654300,395
gq,3072,128,iCertGen,0,27,5571600,395
gq,3072,128,SKGen,0,27,3600600,395
gq,3072,128,PKRecon,0,27,3604800,395
gq,3072,128,iCertGen,0,28,5578300,395
gq,3072,128,SKGen,0,28,3611000,395
gq,3072,128,PKRecon,0,28,3587200,395
gq,3072,128,iCertGen,0,29,5686600,395
gq,3072,128,SKGen,0,29,3676300,395
gq,3072,128,PKRecon,0,29,3668800,395
gq,3072,128,iCertGen,0,30,5498300,395
gq,3072,128,SKGen,0,30,3552900,395
gq,3072,128,PKRecon,0,30,3547300,395
gq,3072,128,iCertGen,0,31,5756300,395
gq,3072,128,SKGen,0,31,3735300,395
gq,3072,128,PKRecon,0,31,3736200,395
gq,3072,128,iCertGen,0,32,5543700,395
gq,3072,128,SKGen,0,32,3582100,395
gq,3072,128,PKRecon,0,32,3590700,395
gq,3072,128,iCertGen,0,33,5485200,395
gq,3072,128,SKGen,0,33,3523700,395
gq,3072,128,PKRecon,0,33,3535300,395
gq,3072,128,iCertGen,0,34,5503900,395
gq,3072,128,SKGen,0,34,3464000,395
gq,3072,128,PKRecon,0,34,3477400,395
gq,3072,128,iCertGen,0,35,5631700,395
gq,3072,128,SKGen,0,35,3647800,395
gq,3072,128,PKRecon,0,35,3650400,395
gq,3072,128,iCertGen,0,36,5499900,395
gq,3072,128,SKGen,0,36,3504900,395
gq,3072,128,PKRecon,0,36,3526500,395
gq,3072,128,iCertGen,0,37,5691300,395
gq,3072,128,SKGen,0,37,3737300,395
gq,3072,128,PKRecon,0,37,3727300,395
gq,3072,128,iCertGen,0,38,5330500,395
gq,3072,128,SKGen,0,38,3286000,395
gq,3072,128,PKRecon,0,38,3305700,395
gq,3072,128,iCertGen,0,39,5276200,395
gq,3072,128,SKGen,0,39,3270500,395
gq,3072,128,PKRecon,0,39,3290500,395
gq,3072,128,iCertGen,0,40,5713000,395
gq,3072,128,SKGen,0,40,3696600,395
gq,3072,128,PKRecon,0,40,3696800,395
gq,3072,128,iCertGen,0,41,5555700,395
gq,3072,128,SKGen,0,41,3547300,395
gq,3072,128,PKRecon,0,41,3557500,395
gq,3072,128,iCertGen,0,42,5532700,395
gq,3072,128,SKGen,0,42,3548900,395
gq,3072,128,PKRecon,0,42,3550600,395
gq,3072,128,iCertGen,0,43,5638300,395
gq,3072,128,SKGen,0,43,3646500,395
gq,3072,128,PKRecon,0,43,3657900,395
gq,3072,128,iCertGen,0,44,5358300,395
gq,3072,128,SKGen,0,44,3397200,395
gq,3072,128,PKRecon,0,44,3415800,395
gq,3072,128,iCertGen,0,45,5804000,395
gq,3072,128,SKGen,0,45,3889500,395
gq,3072,128,PKRecon,0,45,3924900,395
gq,3072,128,iCertGen,0,46,6884300,395
gq,3072,128,SKGen,0,46,4797100,395
gq,3072,128,PKRecon,0,46,4626800,395
gq,3072,128,iCertGen,0,47,7158100,395
gq,3072,128,SKGen,0,47,4699700,395
gq,3072,128,PKRecon,0,47,4623600,395
gq,3072,128,iCertGen,0,48,7109800,395
gq,3072,128,SKGen,0,48,4509700,395
gq,3072,128,PKRecon,0,48,4522700,395
gq,3072,128,iCertGen,0,49,7034200,395
gq,3072,128,SKGen,0,49,4413800,395
gq,3072,128,PKRecon,0,49,4589800,395
gq,3072,128,iCertGen,0,50,6886800,395
gq,3072,128,SKGen,0,50,4372700,395
gq,3072,128,PKRecon,0,50,4400500,395
gq,3072,128,iCertGen,0,51,6449600,395
gq,3072,128,SKGen,0,51,4487300,395
gq,3072,128,PKRecon,0,51,4604900,395
gq,3072,128,iCertGen,0,52,6817500,395
gq,3072,128,SKGen,0,52,4209000,395
gq,3072,128,PKRecon,0,52,4417500,395
gq,3072,128,iCertGen,0,53,6505300,395
gq,3072,128,SKGen,0,53,3954000,395
gq,3072,128,PKRecon,0,53,4079400,395
gq,3072,128,iCertGen,0,54,6969800,395
gq,3072,128,SKGen,0,54,4593900,395
gq,3072,128,PKRecon,0,54,4529200,395
gq,3072,128,iCertGen,0,55,7304900,395
gq,3072,128,SKGen,0,55,3873700,395
gq,3072,128,PKRecon,0,55,4448500,395
gq,3072,128,iCertGen,0,56,7072600,395
gq,3072,128,SKGen,0,56,3614700,395
gq,3072,128,PKRecon,0,56,3600400,395
gq,3072,128,iCertGen,0,57,5647100,395
gq,3072,128,SKGen,0,57,3591500,395
gq,3072,128,PKRecon,0,57,3601000,395
gq,3072,128,iCertGen,0,58,5534800,395
gq,3072,128,SKGen,0,58,3514200,395
gq,3072,128,PKRecon,0,58,3541700,395
gq,3072,128,iCertGen,0,59,5835000,395
gq,3072,128,SKGen,0,59,3826700,395
gq,3072,128,PKRecon,0,59,3843400,395
gq,3072,128,iCertGen,0,60,5707000,395
gq,3072,128,SKGen,0,60,3722900,395
gq,3072,128,PKRecon,0,60,3690000,395
gq,3072,128,iCertGen,0,61,5609200,395
gq,3072,128,SKGen,0,61,3611200,395
gq,3072,128,PKRecon,0,61,3619600,395
gq,3072,128,iCertGen,0,62,5742400,395
gq,3072,128,SKGen,0,62,3753800,395
gq,3072,128,PKRecon,0,62,3780800,395
gq,3072,128,iCertGen,0,63,5590200,395
gq,3072,128,SKGen,0,63,3619300,395
gq,3072,128,PKRecon,0,63,3821700,395
gq,3072,128,iCertGen,0,64,5658100,395
gq,3072,128,SKGen,0,64,3648600,395
gq,3072,128,PKRecon,0,64,3658000,395
gq,3072,128,iCertGen,0,65,5616700,395
gq,3072,128,SKGen,0,65,3603300,395
gq,3072,128,PKRecon,0,65,3617200,395
gq,3072,128,iCertGen,0,66,5760300,395
gq,3072,128,SKGen,0,66,3766800,395
gq,3072,128,PKRecon,0,66,3756600,395
gq,3072,128,iCertGen,0,67,5642700,395
gq,3072,128,SKGen,0,67,3649600,395
gq,3072,128,PKRecon,0,67,3669600,395
gq,3072,128,iCertGen,0,68,5545100,395
gq,3072,128,SKGen,0,68,3571500,395
gq,3072,128,PKRecon,0,68,3558200,395
gq,3072,128,iCertGen,0,69,5547200,395
gq,3072,128,SKGen,0,69,3541000,395
gq,3072,128,PKRecon,0,69,3556800,395
gq,3072,128,iCertGen,0,70,5441200,395
gq,3072,128,SKGen,0,70,3414400,395
gq,3072,128,PKRecon,0,70,3420000,395
gq,3072,128,iCertGen,0,71,5729400,395
gq,3072,128,SKGen,0,71,3690900,395
gq,3072,128,PKRecon,0,71,3724200,395
gq,3072,128,iCertGen,0,72,5565100,395
gq,3072,128,SKGen,0,72,3533100,395
gq,3072,128,PKRecon,0,72,3533400,395
gq,3072,128,iCertGen,0,73,6438500,395
gq,3072,128,SKGen,0,73,4150700,395
gq,3072,128,PKRecon,0,73,3999100,395
gq,3072,128,iCertGen,0,74,6508800,395
gq,3072,128,SKGen,0,74,4246800,395
gq,3072,128,PKRecon,0,74,3865300,395
gq,3072,128,iCertGen,0,75,5791400,395
gq,3072,128,SKGen,0,75,3783500,395
gq,3072,128,PKRecon,0,75,3788400,395
gq,3072,128,iCertGen,0,76,5652800,395
gq,3072,128,SKGen,0,76,3599700,395
gq,3072,128,PKRecon,0,76,3699700,395
gq,3072,128,iCertGen,0,77,5611100,395
gq,3072,128,SKGen,0,77,3588000,395
gq,3072,128,PKRecon,0,77,3593500,395
gq,3072,128,iCertGen,0,78,5737600,395
gq,3072,128,SKGen,0,78,3733700,395
gq,3072,128,PKRecon,0,78,3739400,395
gq,3072,128,iCertGen,0,79,5579300,395
gq,3072,128,SKGen,0,79,3602700,395
gq,3072,128,PKRecon,0,79,3626200,395
gq,3072,128,iCertGen,0,80,5769500,395
gq,3072,128,SKGen,0,80,3805400,395
gq,3072,128,PKRecon,0,80,3803500,395
gq,3072,128,iCertGen,0,81,5688000,395
gq,3072,128,SKGen,0,81,3706900,395
gq,3072,128,PKRecon,0,81,3717400,395
gq,3072,128,iCertGen,0,82,5734400,395
gq,3072,128,SKGen,0,82,3690400,395
gq,3072,128,PKRecon,0,82,3694200,395
gq,3072,128,iCertGen,0,83,5551600,395
gq,3072,128,SKGen,0,83,3548300,395
gq,3072,128,PKRecon,0,83,3552300,395
gq,3072,128,iCertGen,0,84,5590800,395
gq,3072,128,SKGen,0,84,3514800,395
gq,3072,128,PKRecon,0,84,3529900,395
gq,3072,128,iCertGen,0,85,5784300,395
gq,3072,128,SKGen,0,85,3775100,395
gq,3072,128,PKRecon,0,85,3775500,395
gq,3072,128,iCertGen,0,86,5831000,395
gq,3072,128,SKGen,0,86,3785000,395
gq,3072,128,PKRecon,0,86,3798300,395
gq,3072,128,iCertGen,0,87,5873800,395
gq,3072,128,SKGen,0,87,3856400,395
gq,3072,128,PKRecon,0,87,3861500,395
gq,3072,128,iCertGen,0,88,5649500,395
gq,3072,128,SKGen,0,88,3625200,395
gq,3072,128,PKRecon,0,88,3646100,395
gq,3072,128,iCertGen,0,89,5648000,395
gq,3072,128,SKGen,0,89,3626500,395
gq,3072,128,PKRecon,0,89,3632900,395
gq,3072,128,iCertGen,0,90,5596100,395
gq,3072,128,SKGen,0,90,3630200,395
gq,3072,128,PKRecon,0,90,3604000,395
gq,3072,128,iCertGen,0,91,5590100,395
gq,3072,128,SKGen,0,91,3613000,395
gq,3072,128,PKRecon,0,91,3615300,395
gq,3072,128,iCertGen,0,92,5748300,395
gq,3072,128,SKGen,0,92,3745800,395
gq,3072,128,PKRecon,0,92,3755100,395
gq,3072,128,iCertGen,0,93,5779100,395
gq,3072,128,SKGen,0,93,3789500,395
gq,3072,128,PKRecon,0,93,3816600,395
gq,3072,128,iCertGen,0,94,5594000,395
gq,3072,128,SKGen,0,94,3590700,395
gq,3072,128,PKRecon,0,94,3603000,395
gq,3072,128,iCertGen,0,95,5725300,395
gq,3072,128,SKGen,0,95,3744000,395
gq,3072,128,PKRecon,0,95,3739900,395
gq,3072,128,iCertGen,0,96,5596200,395
gq,3072,128,SKGen,0,96,3578100,395
gq,3072,128,PKRecon,0,96,3573300,395
gq,3072,128,iCertGen,0,97,6924400,395
gq,3072,128,SKGen,0,97,4529700,395
gq,3072,128,PKRecon,0,97,4105300,395
gq,3072,128,iCertGen,0,98,7008200,395
gq,3072,128,SKGen,0,98,4140000,395
gq,3072,128,PKRecon,0,98,3985600,395
gq,3072,128,iCertGen,0,99,6156400,395
gq,3072,128,SKGen,0,99,3892900,395
gq,3072,128,PKRecon,0,99,3685100,395
gq,3072,128,iCertGen,0,100,6377600,395
gq,3072,128,SKGen,0,100,4324000,395
gq,3072,128,PKRecon,0,100,4606900,395
gq,3072,128,iCertGen,0,101,6348600,395
gq,3072,128,SKGen,0,101,4219200,395
gq,3072,128,PKRecon,0,101,3959300,395
gq,3072,128,iCertGen,0,102,6880000,395
gq,3072,128,SKGen,0,102,4415600,395
gq,3072,128,PKRecon,0,102,4429200,395
gq,3072,128,iCertGen,0,103,6293100,395
gq,3072,128,SKGen,0,103,3981400,395
gq,3072,128,PKRecon,0,103,4533600,395
gq,3072,128,iCertGen,0,104,6302000,395
gq,3072,128,SKGen,0,104,4275200,395
gq,3072,128,PKRecon,0,104,4115700,395
gq,3072,128,iCertGen,0,105,7153700,395
gq,3072,128,SKGen,0,105,4581100,395
gq,3072,128,PKRecon,0,105,4434000,395
gq,3072,128,iCertGen,0,106,6234000,395
gq,3072,128,SKGen,0,106,3952900,395
gq,3072,128,PKRecon,0,106,4016800,395
gq,3072,128,iCertGen,0,107,6850600,395
gq,3072,128,SKGen,0,107,4576900,395
gq,3072,128,PKRecon,0,107,4314900,395
gq,3072,128,iCertGen,0,108,7011900,395
gq,3072,128,SKGen,0,108,4445600,395
gq,3072,128,PKRecon,0,108,4278300,395
gq,3072,128,iCertGen,0,109,5959100,395
gq,3072,128,SKGen,0,109,4335100,395
gq,3072,128,PKRecon,0,109,4415900,395
gq,3072,128,iCertGen,0,110,7375600,395
gq,3072,128,SKGen,0,110,4815800,395
gq,3072,128,PKRecon,0,110,4801300,395
gq,3072,128,iCertGen,0,111,7174200,395
gq,3072,128,SKGen,0,111,4625900,395
gq,3072,128,PKRecon,0,111,4624900,395
gq,3072,128,iCertGen,0,112,6545700,395
gq,3072,128,SKGen,0,112,4171700,395
gq,3072,128,PKRecon,0,112,4157900,395
gq,3072,128,iCertGen,0,113,6762600,395
gq,3072,128,SKGen,0,113,4236900,395
gq,3072,128,PKRecon,0,113,4242100,395
gq,3072,128,iCertGen,0,114,7041100,395
gq,3072,128,SKGen,0,114,4543600,395
gq,3072,128,PKRecon,0,114,4584700,395
gq,3072,128,iCertGen,0,115,7240700,395
gq,3072,128,SKGen,0,115,4708500,395
gq,3072,128,PKRecon,0,115,4760800,395
gq,3072,128,iCertGen,0,116,6770900,395
gq,3072,128,SKGen,0,116,4271300,395
gq,3072,128,PKRecon,0,116,4317900,395
gq,3072,128,iCertGen,0,117,7040300,395
gq,3072,128,SKGen,0,117,4535600,395
gq,3072,128,PKRecon,0,117,4535000,395
gq,3072,128,iCertGen,0,118,6909800,395
gq,3072,128,SKGen,0,118,4375100,395
gq,3072,128,PKRecon,0,118,4394700,395
gq,3072,128,iCertGen,0,119,7177400,395
gq,3072,128,SKGen,0,119,4945200,395
gq,3072,128,PKRecon,0,119,4709100,395
