scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
gq,3072,128,iCertGen,1,0,5858600,395
gq,3072,128,SKGen,1,0,4032100,395
gq,3072,128,PKRecon,1,0,3961000,395
gq,3072,128,iCertGen,1,1,5760500,395
gq,3072,128,SKGen,1,1,3743900,395
gq,3072,128,PKRecon,1,1,3750300,395
gq,3072,128,iCertGen,1,2,5632900,395
gq,3072,128,SKGen,1,2,3617200,395
gq,3072,128,PKRecon,1,2,3626100,395
gq,3072,128,iCertGen,0,0,5675400,395
gq,3072,128,SKGen,0,0,3661700,395
gq,3072,128,PKRecon,0,0,3717000,395
gq,3072,128,iCertGen,0,1,5715200,395
gq,3072,128,SKGen,0,1,3722500,395
gq,3072,128,PKRecon,0,1,3720700,395
gq,3072,128,iCertGen,0,2,5781400,395
gq,3072,128,SKGen,0,2,3783600,395
gq,3072,128,PKRecon,0,2,3783300,395
gq,3072,128,iCertGen,0,3,5707400,395
gq,3072,128,SKGen,0,3,3643600,395
gq,3072,128,PKRecon,0,3,3674900,395
gq,3072,128,iCertGen,0,4,5789500,395
gq,3072,128,SKGen,0,4,3734200,395
gq,3072,128,PKRecon,0,4,3787200,395
gq,3072,128,iCertGen,0,5,6118800,395
gq,3072,128,SKGen,0,5,3855100,395
gq,3072,128,PKRecon,0,5,3884600,395
gq,3072,128,iCertGen,0,6,5670100,395
gq,3072,128,SKGen,0,6,3634900,395
gq,3072,128,PKRecon,0,6,3635600,395
gq,3072,128,iCertGen,0,7,5538400,395
gq,3072,128,SKGen,0,7,3509300,395
gq,3072,128,PKRecon,0,7,3512900,395
gq,3072,128,iCertGen,0,8,5551000,395
gq,3072,128,SKGen,0,8,3519100,395
gq,3072,128,PKRecon,0,8,3544400,395
gq,3072,128,iCertGen,0,9,5492800,395
gq,3072,128,SKGen,0,9,3511100,395
gq,3072,128,PKRecon,0,9,3508000,395
