scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
gq,3072,128,Setup,1,0,1078500,0,384,384
gq,3072,128,iCertGen,1,0,6031000,395,384,384
gq,3072,128,SKGen,1,0,3863600,395,384,384
gq,3072,128,PKRecon,1,0,3900000,395,384,384
gq,3072,128,Setup,1,1,1064600,0,384,384
gq,3072,128,iCertGen,1,1,5970600,395,384,384
gq,3072,128,SKGen,1,1,3852400,395,384,384
gq,3072,128,PKRecon,1,1,3869700,395,384,384
gq,3072,128,Setup,1,2,1034700,0,384,384
gq,3072,128,iCertGen,1,2,5850600,395,384,384
gq,3072,128,SKGen,1,2,3736700,395,384,384
gq,3072,128,PKRecon,1,2,3751500,395,384,384
gq,3072,128,Setup,1,3,1052100,0,384,384
gq,3072,128,iCertGen,1,3,5914700,395,384,384
gq,3072,128,SKGen,1,3,3777100,395,384,384
gq,3072,128,PKRecon,1,3,3797300,395,384,384
gq,3072,128,Setup,1,4,1049500,0,384,384
gq,3072,128,iCertGen,1,4,5922300,395,384,384
gq,3072,128,SKGen,1,4,3809800,395,384,384
gq,3072,128,PKRecon,1,4,3821400,395,384,384
gq,3072,128,Setup,1,5,1024800,0,384,384
gq,3072,128,iCertGen,1,5,5986600,395,384,384
gq,3072,128,SKGen,1,5,3873900,395,384,384
gq,3072,128,PKRecon,1,5,3876200,395,384,384
gq,3072,128,Setup,1,6,1039600,0,384,384
gq,3072,128,iCertGen,1,6,6222400,395,384,384
gq,3072,128,SKGen,1,6,4038000,395,384,384
gq,3072,128,PKRecon,1,6,4037600,395,384,384
gq,3072,128,Setup,1,7,1062400,0,384,384
gq,3072,128,iCertGen,1,7,5810800,395,384,384
gq,3072,128,SKGen,1,7,3705100,395,384,384
gq,3072,128,PKRecon,1,7,3714400,395,384,384
gq,3072,128,Setup,1,8,1046800,0,384,384
gq,3072,128,iCertGen,1,8,5774600,395,384,384
gq,3072,128,SKGen,1,8,3697200,395,384,384
gq,3072,128,PKRecon,1,8,3694400,395,384,384
gq,3072,128,Setup,1,9,1017600,0,384,384
gq,3072,128,iCertGen,1,9,5980700,395,384,384
gq,3072,128,SKGen,1,9,3902300,395,384,384
gq,3072,128,PKRecon,1,9,3908800,395,384,384
gq,3072,128,Setup,1,10,1054200,0,384,384
gq,3072,128,iCertGen,1,10,5838800,395,384,384
gq,3072,128,SKGen,1,10,3697100,395,384,384
gq,3072,128,PKRecon,1,10,3709900,395,384,384
gq,3072,128,Setup,1,11,1070100,0,384,384
gq,3072,128,iCertGen,1,11,5802300,395,384,384
gq,3072,128,SKGen,1,11,3698400,395,384,384
gq,3072,128,PKRecon,1,11,3702400,395,384,384
gq,3072,128,Setup,1,12,1034100,0,384,384
gq,3072,128,iCertGen,1,12,5816300,395,384,384
gq,3072,128,SKGen,1,12,3695000,395,384,384
gq,3072,128,PKRecon,1,12,3690300,395,384,384
gq,3072,128,Setup,1,13,1051200,0,384,384
gq,3072,128,iCertGen,1,13,5787300,395,384,384
gq,3072,128,SKGen,1,13,3698300,395,384,384
gq,3072,128,PKRecon,1,13,3695100,395,384,384
gq,3072,128,Setup,1,14,1056500,0,384,384
gq,3072,128,iCertGen,1,14,5773600,395,384,384
gq,3072,128,SKGen,1,14,3666000,395,384,384
gq,3072,128,PKRecon,1,14,3674900,395,384,384
gq,3072,128,Setup,1,15,1033800,0,384,384
gq,3072,128,iCertGen,1,15,5989100,395,384,384
gq,3072,128,SKGen,1,15,3903700,395,384,384
gq,3072,128,PKRecon,1,15,3913800,395,384,384
gq,3072,128,Setup,1,16,1034400,0,384,384
gq,3072,128,iCertGen,1,16,5679100,395,384,384
gq,3072,128,SKGen,1,16,3586500,395,384,384
gq,3072,128,PKRecon,1,16,3577900,395,384,384
gq,3072,128,Setup,1,17,1052100,0,384,384
gq,3072,128,iCertGen,1,17,6062300,395,384,384
gq,3072,128,SKGen,1,17,3989800,395,384,384
gq,3072,128,PKRecon,1,17,3994500,395,384,384
gq,3072,128,Setup,1,18,1043600,0,384,384
gq,3072,128,iCertGen,1,18,5802400,395,384,384
gq,3072,128,SKGen,1,18,3722000,395,384,384
gq,3072,128,PKRecon,1,18,3725600,395,384,384
gq,3072,128,Setup,1,19,1019000,0,384,384
gq,3072,128,iCertGen,1,19,5799600,395,384,384
gq,3072,128,SKGen,1,19,3699300,395,384,384
gq,3072,128,PKRecon,1,19,3706800,395,384,384
gq,3072,128,Setup,0,0,1024600,0,384,384
gq,3072,128,iCertGen,0,0,5837300,395,384,384
gq,3072,128,SKGen,0,0,3722200,395,384,384
gq,3072,128,PKRecon,0,0,3733700,395,384,384
gq,3072,128,Setup,0,1,1035800,0,384,384
gq,3072,128,iCertGen,0,1,5986200,395,384,384
gq,3072,128,SKGen,0,1,3916200,395,384,384
gq,3072,128,PKRecon,0,1,3938300,395,384,384
gq,3072,128,Setup,0,2,1030200,0,384,384
gq,3072,128,iCertGen,0,2,5842100,395,384,384
gq,3072,128,SKGen,0,2,3732600,395,384,384
gq,3072,128,PKRecon,0,2,3740100,395,384,384
gq,3072,128,Setup,0,3,1065700,0,384,384
gq,3072,128,iCertGen,0,3,5853600,395,384,384
gq,3072,128,SKGen,0,3,3747300,395,384,384
gq,3072,128,PKRecon,0,3,3772100,395,384,384
gq,3072,128,Setup,0,4,1047200,0,384,384
gq,3072,128,iCertGen,0,4,5878200,395,384,384
gq,3072,128,SKGen,0,4,3777000,395,384,384
gq,3072,128,PKRecon,0,4,3775800,395,384,384
gq,3072,128,Setup,0,5,1034600,0,384,384
gq,3072,128,iCertGen,0,5,5980800,395,384,384
gq,3072,128,SKGen,0,5,3848900,395,384,384
gq,3072,128,PKRecon,0,5,3862400,395,384,384
gq,3072,128,Setup,0,6,1026400,0,384,384
gq,3072,128,iCertGen,0,6,5727200,395,384,384
gq,3072,128,SKGen,0,6,3614900,395,384,384
gq,3072,128,PKRecon,0,6,3634300,395,384,384
gq,3072,128,Setup,0,7,1051200,0,384,384
gq,3072,128,iCertGen,0,7,5664800,395,384,384
gq,3072,128,SKGen,0,7,3585200,395,384,384
gq,3072,128,PKRecon,0,7,3590700,395,384,384
gq,3072,128,Setup,0,8,1237300,0,384,384
gq,3072,128,iCertGen,0,8,6018100,395,384,384
gq,3072,128,SKGen,0,8,3845000,395,384,384
gq,3072,128,PKRecon,0,8,3847400,395,384,384
gq,3072,128,Setup,0,9,1062500,0,384,384
gq,3072,128,iCertGen,0,9,6114000,395,384,384
gq,3072,128,SKGen,0,9,4000700,395,384,384
gq,3072,128,PKRecon,0,9,4027600,395,384,384
gq,3072,128,Setup,0,10,1058800,0,384,384
gq,3072,128,iCertGen,0,10,5846100,395,384,384
gq,3072,128,SKGen,0,10,3734000,395,384,384
gq,3072,128,PKRecon,0,10,3774800,395,384,384
gq,3072,128,Setup,0,11,1048700,0,384,384
gq,3072,128,iCertGen,0,11,5899500,395,384,384
