scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
gq,3072,128,Setup,1,0,1007500,0,384,384
gq,3072,128,iCertGen,1,0,5593600,395,384,384
gq,3072,128,SKGen,1,0,3552800,395,384,384
gq,3072,128,PKRecon,1,0,3559900,395,384,384
gq,3072,128,Setup,1,1,975800,0,384,384
gq,3072,128,iCertGen,1,1,5699900,395,384,384
gq,3072,128,SKGen,1,1,3704600,395,384,384
gq,3072,128,PKRecon,1,1,3721300,395,384,384
gq,3072,128,Setup,0,0,968500,0,384,384
gq,3072,128,iCertGen,0,0,5592100,395,384,384
gq,3072,128,SKGen,0,0,3556800,395,384,384
gq,3072,128,PKRecon,0,0,3574700,395,384,384
gq,3072,128,Setup,0,1,972000,0,384,384
gq,3072,128,iCertGen,0,1,5819700,395,384,384
gq,3072,128,SKGen,0,1,3721000,395,384,384
gq,3072,128,PKRecon,0,1,3736400,395,384,384
gq,3072,128,Setup,0,2,987300,0,384,384
gq,3072,128,iCertGen,0,2,5666100,395,384,384
gq,3072,128,SKGen,0,2,3681000,395,384,384
gq,3072,128,PKRecon,0,2,3691900,395,384,384
gq,3072,128,Setup,0,3,961700,0,384,384
gq,3072,128,iCertGen,0,3,5754700,395,384,384
gq,3072,128,SKGen,0,3,3760300,395,384,384
gq,3072,128,PKRecon,0,3,3771400,395,384,384
gq,3072,128,Setup,0,4,1008700,0,384,384
gq,3072,128,iCertGen,0,4,5528900,395,384,384
gq,3072,128,SKGen,0,4,3529400,395,384,384
gq,3072,128,PKRecon,0,4,3517300,395,384,384
