scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
schnorr,2048,128,iCertGen,1,0,1231500,44
schnorr,2048,128,SKGen,1,0,65500,44
schnorr,2048,128,PKRecon,1,0,5308800,44
schnorr,2048,128,iCertGen,1,1,1198600,44
schnorr,2048,128,SKGen,1,1,67200,44
schnorr,2048,128,PKRecon,1,1,5476100,44
schnorr,2048,128,iCertGen,1,2,1242800,44
schnorr,2048,128,SKGen,1,2,67900,44
schnorr,2048,128,PKRecon,1,2,5369500,44
schnorr,2048,128,iCertGen,1,3,1308000,44
schnorr,2048,128,SKGen,1,3,57800,44
schnorr,2048,128,PKRecon,1,3,5124400,44
schnorr,2048,128,iCertGen,1,4,1179100,44
schnorr,2048,128,SKGen,1,4,59100,44
schnorr,2048,128,PKRecon,1,4,4960300,44
schnorr,2048,128,iCertGen,1,5,1259300,44
schnorr,2048,128,SKGen,1,5,59800,44
schnorr,2048,128,PKRecon,1,5,5289500,44
schnorr,2048,128,iCertGen,1,6,1173400,44
schnorr,2048,128,SKGen,1,6,58100,44
schnorr,2048,128,PKRecon,1,6,5288800,44
schnorr,2048,128,iCertGen,1,7,1223600,44
schnorr,2048,128,SKGen,1,7,58200,44
schnorr,2048,128,PKRecon,1,7,5252300,44
schnorr,2048,128,iCertGen,1,8,1192700,44
schnorr,2048,128,SKGen,1,8,58000,44
schnorr,2048,128,PKRecon,1,8,5160100,44
schnorr,2048,128,iCertGen,1,9,1255100,44
schnorr,2048,128,SKGen,1,9,58200,44
schnorr,2048,128,PKRecon,1,9,5111100,44
schnorr,2048,128,iCertGen,1,10,1185200,44
schnorr,2048,128,SKGen,1,10,60200,44
schnorr,2048,128,PKRecon,1,10,5183600,44
schnorr,2048,128,iCertGen,1,11,1240000,44
schnorr,2048,128,SKGen,1,11,57500,44
schnorr,2048,128,PKRecon,1,11,5105000,44
schnorr,2048,128,iCertGen,1,12,1193900,44
schnorr,2048,128,SKGen,1,12,58100,44
schnorr,2048,128,PKRecon,1,12,5093000,44
schnorr,2048,128,iCertGen,1,13,1164100,44
schnorr,2048,128,SKGen,1,13,60100,44
schnorr,2048,128,PKRecon,1,13,5346600,44
