scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
schnorr,2048,128,Setup,1,0,7924800,0,33,32
schnorr,2048,128,iCertGen,1,0,1217300,44,33,32
schnorr,2048,128,SKGen,1,0,63700,44,33,32
schnorr,2048,128,PKRecon,1,0,5446800,44,33,32
schnorr,2048,128,Setup,1,1,530600,0,33,32
schnorr,2048,128,iCertGen,1,1,1224300,44,33,32
schnorr,2048,128,SKGen,1,1,61300,44,33,32
schnorr,2048,128,PKRecon,1,1,5205500,44,33,32
schnorr,2048,128,Setup,1,2,558600,0,33,32
schnorr,2048,128,iCertGen,1,2,1254500,44,33,32
schnorr,2048,128,SKGen,1,2,64400,44,33,32
schnorr,2048,128,PKRecon,1,2,5240500,44,33,32
schnorr,2048,128,Setup,1,3,537700,0,33,32
schnorr,2048,128,iCertGen,1,3,1214600,44,33,32
schnorr,2048,128,SKGen,1,3,61500,44,33,32
schnorr,2048,128,PKRecon,1,3,5686200,44,33,32
schnorr,2048,128,Setup,1,4,567600,0,33,32
schnorr,2048,128,iCertGen,1,4,1160500,44,33,32
schnorr,2048,128,SKGen,1,4,54100,44,33,32
schnorr,2048,128,PKRecon,1,4,5013700,44,33,32
schnorr,2048,128,Setup,1,5,584500,0,33,32
schnorr,2048,128,iCertGen,1,5,1249600,44,33,32
schnorr,2048,128,SKGen,1,5,56900,44,33,32
schnorr,2048,128,PKRecon,1,5,5490200,44,33,32
schnorr,2048,128,Setup,1,6,545400,0,33,32
schnorr,2048,128,iCertGen,1,6,1205500,44,33,32
schnorr,2048,128,SKGen,1,6,53600,44,33,32
schnorr,2048,128,PKRecon,1,6,5257300,44,33,32
schnorr,2048,128,Setup,1,7,523500,0,33,32
schnorr,2048,128,iCertGen,1,7,1222400,44,33,32
schnorr,2048,128,SKGen,1,7,56200,44,33,32
schnorr,2048,128,PKRecon,1,7,5189000,44,33,32
schnorr,2048,128,Setup,1,8,554800,0,33,32
schnorr,2048,128,iCertGen,1,8,1242100,44,33,32
schnorr,2048,128,SKGen,1,8,57000,44,33,32
schnorr,2048,128,PKRecon,1,8,5287800,44,33,32
schnorr,2048,128,Setup,1,9,544200,0,33,32
schnorr,2048,128,iCertGen,1,9,1184400,44,33,32
schnorr,2048,128,SKGen,1,9,55200,44,33,32
schnorr,2048,128,PKRecon,1,9,5151900,44,33,32
schnorr,2048,128,Setup,1,10,524100,0,33,32
schnorr,2048,128,iCertGen,1,10,1251200,44,33,32
schnorr,2048,128,SKGen,1,10,56500,44,33,32
schnorr,2048,128,PKRecon,1,10,5396100,44,33,32
schnorr,2048,128,Setup,1,11,550200,0,33,32
schnorr,2048,128,iCertGen,1,11,1178700,44,33,32
schnorr,2048,128,SKGen,1,11,53100,44,33,32
schnorr,2048,128,PKRecon,1,11,5073300,44,33,32
schnorr,2048,128,Setup,1,12,493700,0,33,32
schnorr,2048,128,iCertGen,1,12,1175400,44,33,32
schnorr,2048,128,SKGen,1,12,56500,44,33,32
schnorr,2048,128,PKRecon,1,12,5370100,44,33,32
schnorr,2048,128,Setup,1,13,552200,0,33,32
schnorr,2048,128,iCertGen,1,13,1142200,44,33,32
schnorr,2048,128,SKGen,1,13,57400,44,33,32
schnorr,2048,128,PKRecon,1,13,5517400,44,33,32
schnorr,2048,128,Setup,1,14,559900,0,33,32
schnorr,2048,128,iCertGen,1,14,1184900,44,33,32
schnorr,2048,128,SKGen,1,14,56100,44,33,32
schnorr,2048,128,PKRecon,1,14,5066600,44,33,32
schnorr,2048,128,Setup,1,15,551600,0,33,32
schnorr,2048,128,iCertGen,1,15,1147100,44,33,32
schnorr,2048,128,SKGen,1,15,52500,44,33,32
schnorr,2048,128,PKRecon,1,15,4900800,44,33,32
schnorr,2048,128,Setup,1,16,606800,0,33,32
schnorr,2048,128,iCertGen,1,16,1188200,44,33,32
