scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes
schnorr,2048,128,iCertGen,1,0,1263000,44
schnorr,2048,128,SKGen,1,0,61400,44
schnorr,2048,128,PKRecon,1,0,5231000,44
schnorr,2048,128,iCertGen,1,1,1208400,44
schnorr,2048,128,SKGen,1,1,63200,44
schnorr,2048,128,PKRecon,1,1,5230500,44
schnorr,2048,128,iCertGen,0,0,1211100,44
schnorr,2048,128,SKGen,0,0,63800,44
schnorr,2048,128,PKRecon,0,0,5036500,44
schnorr,2048,128,iCertGen,0,1,1204200,44
schnorr,2048,128,SKGen,0,1,59200,44
schnorr,2048,128,PKRecon,0,1,5243800,44
schnorr,2048,128,iCertGen,0,2,1190000,44
schnorr,2048,128,SKGen,0,2,56700,44
schnorr,2048,128,PKRecon,0,2,5243300,44
schnorr,2048,128,iCertGen,0,3,1156800,44
schnorr,2048,128,SKGen,0,3,54000,44
schnorr,2048,128,PKRecon,0,3,5046400,44
schnorr,2048,128,iCertGen,0,4,1121200,44
schnorr,2048,128,SKGen,0,4,56300,44
schnorr,2048,128,PKRecon,0,4,5168900,44
