scheme,bits,lam,op,warmup,rep,elapsed_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
schnorr,2048,128,Setup,1,0,7921500,0,33,32
schnorr,2048,128,iCertGen,1,0,1329700,44,33,32
schnorr,2048,128,SKGen,1,0,65800,44,33,32
schnorr,2048,128,PKRecon,1,0,5231500,44,33,32
schnorr,2048,128,Setup,1,1,542500,0,33,32
schnorr,2048,128,iCertGen,1,1,1175100,44,33,32
schnorr,2048,128,SKGen,1,1,63000,44,33,32
schnorr,2048,128,PKRecon,1,1,5054100,44,33,32
schnorr,2048,128,Setup,0,0,573100,0,33,32
schnorr,2048,128,iCertGen,0,0,1158000,44,33,32
schnorr,2048,128,SKGen,0,0,63100,44,33,32
schnorr,2048,128,PKRecon,0,0,5198800,44,33,32
schnorr,2048,128,Setup,0,1,578000,0,33,32
schnorr,2048,128,iCertGen,0,1,1191100,44,33,32
schnorr,2048,128,SKGen,0,1,57900,44,33,32
schnorr,2048,128,PKRecon,0,1,5122700,44,33,32
schnorr,2048,128,Setup,0,2,536200,0,33,32
schnorr,2048,128,iCertGen,0,2,1207800,44,33,32
schnorr,2048,128,SKGen,0,2,57600,44,33,32
schnorr,2048,128,PKRecon,0,2,4893600,44,33,32
schnorr,2048,128,Setup,0,3,528600,0,33,32
schnorr,2048,128,iCertGen,0,3,1220000,44,33,32
schnorr,2048,128,SKGen,0,3,57800,44,33,32
schnorr,2048,128,PKRecon,0,3,5293300,44,33,32
schnorr,2048,128,Setup,0,4,508300,0,33,32
schnorr,2048,128,iCertGen,0,4,1197100,44,33,32
schnorr,2048,128,SKGen,0,4,56700,44,33,32
schnorr,2048,128,PKRecon,0,4,5203000,44,33,32
