scheme,bits,lam,op,n,mean_ns,median_ns,p95_ns,p99_ns,min_ns,max_ns,icert_len_bytes,pk_len_bytes,sk_len_bytes
bls,2048,128,PKRecon,200,38728950,38277950,44482500,49968600,33774600,51031800,59,48,32
bls,2048,128,SKGen,200,58683,57450,72300,80600,49600,93500,59,48,32
bls,2048,128,Setup,200,10137800,9908150,11624500,15575400,8923700,16823500,0,48,32
bls,2048,128,iCertGen,200,20539538,20249350,24116000,27681200,18372200,29211800,59,48,32
gq,3072,128,PKRecon,200,3783558,3750650,4132600,4727900,3321200,4998100,395,384,384
gq,3072,128,SKGen,200,3774612,3738450,4148500,4812200,3310900,4940400,395,384,384
gq,3072,128,Setup,200,1042073,1032700,1223800,1305400,966800,1495800,0,384,384
gq,3072,128,iCertGen,200,5883426,5837950,6537500,7162000,5307700,7439500,395,384,384
schnorr,2048,128,PKRecon,200,5264692,5256200,5654100,6134100,4745400,7554200,44,33,32
schnorr,2048,128,SKGen,200,56193,56000,61000,68300,50400,84700,44,33,32
schnorr,2048,128,Setup,200,547584,542850,594100,684500,460100,986100,0,33,32
schnorr,2048,128,iCertGen,200,1204372,1194250,1305300,1717800,1082600,1794100,44,33,32
